"invoiceno","customerid","country","invoicemonth","totalinvoiceamount","totalitems","distinctproducts","highvaluebasket"
"536365","17850",United Kingdom,2010-12-01 00:00:00.000,139.12,40,7,1
"536366","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536367","13047",United Kingdom,2010-12-01 00:00:00.000,278.73,83,12,1
"536368","13047",United Kingdom,2010-12-01 00:00:00.000,70.05,15,4,0
"536369","13047",United Kingdom,2010-12-01 00:00:00.000,17.85,3,1,0
"536370","12583",France,2010-12-01 00:00:00.000,855.86,449,20,1
"536371","13748",United Kingdom,2010-12-01 00:00:00.000,204.00,80,1,1
"536372","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536373","17850",United Kingdom,2010-12-01 00:00:00.000,259.86,88,16,1
"536374","15100",United Kingdom,2010-12-01 00:00:00.000,350.40,32,1,1
"536375","17850",United Kingdom,2010-12-01 00:00:00.000,259.86,88,16,1
"536376","15291",United Kingdom,2010-12-01 00:00:00.000,328.80,112,2,1
"536377","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536378","14688",United Kingdom,2010-12-01 00:00:00.000,444.98,454,19,1
"536380","17809",United Kingdom,2010-12-01 00:00:00.000,34.80,24,1,0
"536381","15311",United Kingdom,2010-12-01 00:00:00.000,449.98,198,34,1
"536382","16098",United Kingdom,2010-12-01 00:00:00.000,430.60,134,12,1
"536384","18074",United Kingdom,2010-12-01 00:00:00.000,489.60,190,13,1
"536385","17420",United Kingdom,2010-12-01 00:00:00.000,130.85,53,7,1
"536386","16029",United Kingdom,2010-12-01 00:00:00.000,508.20,236,3,1
"536387","16029",United Kingdom,2010-12-01 00:00:00.000,3193.92,1440,5,1
"536388","16250",United Kingdom,2010-12-01 00:00:00.000,226.14,108,14,1
"536389","12431",Australia,2010-12-01 00:00:00.000,358.25,107,14,1
"536390","17511",United Kingdom,2010-12-01 00:00:00.000,1825.74,1568,24,1
"536392","13705",United Kingdom,2010-12-01 00:00:00.000,318.14,103,10,1
"536393","13747",United Kingdom,2010-12-01 00:00:00.000,79.60,8,1,0
"536394","13408",United Kingdom,2010-12-01 00:00:00.000,1024.68,544,11,1
"536395","13767",United Kingdom,2010-12-01 00:00:00.000,507.88,260,14,1
"536396","17850",United Kingdom,2010-12-01 00:00:00.000,376.36,102,18,1
"536397","17924",United Kingdom,2010-12-01 00:00:00.000,279.00,60,2,1
"536398","13448",United Kingdom,2010-12-01 00:00:00.000,426.56,150,17,1
"536399","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536400","13448",United Kingdom,2010-12-01 00:00:00.000,17.40,12,1,0
"536401","15862",United Kingdom,2010-12-01 00:00:00.000,354.23,124,64,1
"536402","15513",United Kingdom,2010-12-01 00:00:00.000,357.00,116,3,1
"536403","12791",Netherlands,2010-12-01 00:00:00.000,192.60,97,2,1
"536404","16218",United Kingdom,2010-12-01 00:00:00.000,471.30,438,28,1
"536405","14045",United Kingdom,2010-12-01 00:00:00.000,326.40,128,1,1
"536406","17850",United Kingdom,2010-12-01 00:00:00.000,353.14,96,17,1
"536407","17850",United Kingdom,2010-12-01 00:00:00.000,22.20,12,2,0
"536408","14307",United Kingdom,2010-12-01 00:00:00.000,783.11,558,48,1
