invoiceno,customerid,country,invoicemonth,totalinvoiceamount,totalitems,distinctproducts,highvaluebasket,log_totalinvoiceamount
536365,17850.0,United Kingdom,2010-12-01 00:00:00.000,139.12,40,7,1,4.942499198329286
536366,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536367,13047.0,United Kingdom,2010-12-01 00:00:00.000,278.73,83,12,1,5.633824852232399
536368,13047.0,United Kingdom,2010-12-01 00:00:00.000,70.05,15,4,0,4.263383854543109
536369,13047.0,United Kingdom,2010-12-01 00:00:00.000,17.85,3,1,0,2.93651291389402
536370,12583.0,France,2010-12-01 00:00:00.000,855.86,449,20,1,6.753274544692897
536371,13748.0,United Kingdom,2010-12-01 00:00:00.000,204.0,80,1,1,5.3230099791384085
536372,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536373,17850.0,United Kingdom,2010-12-01 00:00:00.000,259.86,88,16,1,5.563983864942137
536374,15100.0,United Kingdom,2010-12-01 00:00:00.000,350.4,32,1,1,5.861925175752996
536375,17850.0,United Kingdom,2010-12-01 00:00:00.000,259.86,88,16,1,5.563983864942137
536376,15291.0,United Kingdom,2010-12-01 00:00:00.000,328.8,112,2,1,5.7984864101254985
536377,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536378,14688.0,United Kingdom,2010-12-01 00:00:00.000,444.98,454,19,1,6.100274107965257
536380,17809.0,United Kingdom,2010-12-01 00:00:00.000,34.8,24,1,0,3.5779478934066544
536381,15311.0,United Kingdom,2010-12-01 00:00:00.000,449.98,198,34,1,6.111422992621366
536382,16098.0,United Kingdom,2010-12-01 00:00:00.000,430.6,134,12,1,6.0674992333839795
536384,18074.0,United Kingdom,2010-12-01 00:00:00.000,489.6,190,13,1,6.195629131824389
536385,17420.0,United Kingdom,2010-12-01 00:00:00.000,130.85,53,7,1,4.8816649127992955
536386,16029.0,United Kingdom,2010-12-01 00:00:00.000,508.2,236,3,1,6.232840866683252
536387,16029.0,United Kingdom,2010-12-01 00:00:00.000,3193.92,1440,5,1,8.06931732737452
536388,16250.0,United Kingdom,2010-12-01 00:00:00.000,226.14,108,14,1,5.4255665674635
536389,12431.0,Australia,2010-12-01 00:00:00.000,358.25,107,14,1,5.884018524959134
536390,17511.0,United Kingdom,2010-12-01 00:00:00.000,1825.74,1568,24,1,7.510288236453524
536392,13705.0,United Kingdom,2010-12-01 00:00:00.000,318.14,103,10,1,5.765629877982281
536393,13747.0,United Kingdom,2010-12-01 00:00:00.000,79.6,8,1,0,4.389498649512583
536394,13408.0,United Kingdom,2010-12-01 00:00:00.000,1024.68,544,11,1,6.933111086244446
536395,13767.0,United Kingdom,2010-12-01 00:00:00.000,507.88,260,14,1,6.232212232370549
536396,17850.0,United Kingdom,2010-12-01 00:00:00.000,376.36,102,18,1,5.933199638976006
536397,17924.0,United Kingdom,2010-12-01 00:00:00.000,279.0,60,2,1,5.634789603169249
536398,13448.0,United Kingdom,2010-12-01 00:00:00.000,426.56,150,17,1,6.058094629405745
536399,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536400,13448.0,United Kingdom,2010-12-01 00:00:00.000,17.4,12,1,0,2.91235066461494
536401,15862.0,United Kingdom,2010-12-01 00:00:00.000,354.23,124,64,1,5.872765467010975
536402,15513.0,United Kingdom,2010-12-01 00:00:00.000,357.0,116,3,1,5.8805329864007
536403,12791.0,Netherlands,2010-12-01 00:00:00.000,192.6,97,2,1,5.265794174842477
536404,16218.0,United Kingdom,2010-12-01 00:00:00.000,471.3,438,28,1,6.157614376902071
536405,14045.0,United Kingdom,2010-12-01 00:00:00.000,326.4,128,1,1,5.791182664937034
536406,17850.0,United Kingdom,2010-12-01 00:00:00.000,353.14,96,17,1,5.869692315178071
536407,17850.0,United Kingdom,2010-12-01 00:00:00.000,22.2,12,2,0,3.1441522786722644
536408,14307.0,United Kingdom,2010-12-01 00:00:00.000,783.11,558,48,1,6.664549316630874
536409,17908.0,United Kingdom,2010-12-01 00:00:00.000,232.03,169,51,1,5.451167200642247
536412,17920.0,United Kingdom,2010-12-01 00:00:00.000,453.46,197,54,1,6.119109900943652
536415,12838.0,United Kingdom,2010-12-01 00:00:00.000,390.79,228,59,1,5.970725981958582
536416,13255.0,United Kingdom,2010-12-01 00:00:00.000,225.7,110,6,1,5.423627557513483
536420,16583.0,United Kingdom,2010-12-01 00:00:00.000,233.45,111,14,1,5.457242345535596
536423,18085.0,United Kingdom,2010-12-01 00:00:00.000,303.9,78,9,1,5.719983853994209
536425,13758.0,United Kingdom,2010-12-01 00:00:00.000,362.45,137,17,1,5.895641735930645
536437,13694.0,United Kingdom,2010-12-01 00:00:00.000,842.12,1004,6,1,6.737109296625682
536446,15983.0,United Kingdom,2010-12-01 00:00:00.000,430.99,323,28,1,6.06840243982804
536460,14849.0,United Kingdom,2010-12-01 00:00:00.000,295.54,158,14,1,5.69218211658988
536463,14849.0,United Kingdom,2010-12-01 00:00:00.000,17.4,12,1,0,2.91235066461494
536464,17968.0,United Kingdom,2010-12-01 00:00:00.000,265.1,151,74,1,5.583872177983643
536466,14849.0,United Kingdom,2010-12-01 00:00:00.000,42.9,18,2,0,3.7819143200811256
536477,16210.0,United Kingdom,2010-12-01 00:00:00.000,2474.74,1070,14,1,7.814294620213208
536488,17897.0,United Kingdom,2010-12-01 00:00:00.000,163.34,71,31,1,5.101937452503042
536500,17377.0,United Kingdom,2010-12-01 00:00:00.000,223.9,102,15,1,5.41565585896527
536502,16552.0,United Kingdom,2010-12-01 00:00:00.000,95.29,39,5,0,4.567364471252192
536508,17181.0,United Kingdom,2010-12-01 00:00:00.000,155.52,216,2,1,5.053183797342212
536514,17951.0,United Kingdom,2010-12-01 00:00:00.000,295.5,118,5,1,5.69204721843778
536520,14729.0,United Kingdom,2010-12-01 00:00:00.000,313.49,197,69,1,5.750952279132591
536521,12748.0,United Kingdom,2010-12-01 00:00:00.000,4.95,1,1,0,1.7833912195575383
536522,15012.0,United Kingdom,2010-12-01 00:00:00.000,188.56,84,46,1,5.244705597099387
536523,12868.0,United Kingdom,2010-12-01 00:00:00.000,203.3,112,12,1,5.319589501823576
536524,17572.0,United Kingdom,2010-12-01 00:00:00.000,70.8,24,4,0,4.273884476054178
536525,14078.0,United Kingdom,2010-12-01 00:00:00.000,136.24,29,13,1,4.921731217990249
536526,14001.0,United Kingdom,2010-12-01 00:00:00.000,301.24,94,9,1,5.7112214037532
536527,12662.0,Germany,2010-12-01 00:00:00.000,261.48,157,15,1,5.570174888652846
536528,15525.0,United Kingdom,2010-12-01 00:00:00.000,274.93,113,44,1,5.620147210360944
536529,14237.0,United Kingdom,2010-12-01 00:00:00.000,161.0,38,9,1,5.087596335232384
536530,17905.0,United Kingdom,2010-12-01 00:00:00.000,200.5,71,22,1,5.305789381386738
536531,15485.0,United Kingdom,2010-12-01 00:00:00.000,939.59,391,22,1,6.846507337942632
536532,12433.0,Norway,2010-12-01 00:00:00.000,1919.14,1852,73,1,7.560153379030203
536533,16955.0,United Kingdom,2010-12-01 00:00:00.000,156.1,80,6,1,5.056882545261575
536534,15350.0,United Kingdom,2010-12-01 00:00:00.000,115.65,51,5,1,4.759177998467439
536535,15605.0,United Kingdom,2010-12-01 00:00:00.000,194.85,71,12,1,5.27734906011184
536536,18144.0,United Kingdom,2010-12-01 00:00:00.000,165.05,95,3,1,5.112288947822756
536537,15922.0,United Kingdom,2010-12-01 00:00:00.000,369.5,138,11,1,5.914853444736141
536538,14594.0,United Kingdom,2010-12-01 00:00:00.000,255.0,146,31,1,5.545177444479562
536539,15165.0,United Kingdom,2010-12-01 00:00:00.000,487.75,160,27,1,6.1918511112995755
